eventID,occurrenceID,occurrenceStatus,individualCount,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,kingdom,phylum,class,order,family,genus,specificEpithet,lifeStage,sex,occurrenceRemarks,basisOfRecord
IYS:GoA2020:Stn1:trawl:sample:29,IYS:GoA2020:Stn1:trawl:sample:29:occ,present,1,Salpa aspera,urn:lsid:marinespecies.org:taxname:137270,"Chamisso, 1819",accepted,Species,Animalia,Chordata,Thaliacea,Salpida,Salpidae,Salpa,aspera,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:30,IYS:GoA2020:Stn1:trawl:sample:30:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:31,IYS:GoA2020:Stn1:trawl:sample:31:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:32,IYS:GoA2020:Stn1:trawl:sample:32:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:33,IYS:GoA2020:Stn1:trawl:sample:33:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:34,IYS:GoA2020:Stn1:trawl:sample:34:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:35,IYS:GoA2020:Stn1:trawl:sample:35:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:36,IYS:GoA2020:Stn1:trawl:sample:36:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:37,IYS:GoA2020:Stn1:trawl:sample:37:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
IYS:GoA2020:Stn1:trawl:sample:38,IYS:GoA2020:Stn1:trawl:sample:38:occ,present,1,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,,,,HumanObservation
