eventID,occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID,measurementMethod
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:20,IYS:GoA2020:Stn4:trawl:occ:20:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,301,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:20,IYS:GoA2020:Stn4:trawl:occ:20:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.185,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:21,IYS:GoA2020:Stn4:trawl:occ:21:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,44,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:21,IYS:GoA2020:Stn4:trawl:occ:21:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.128,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:22,IYS:GoA2020:Stn4:trawl:occ:22:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:22,IYS:GoA2020:Stn4:trawl:occ:22:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.02,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:23,IYS:GoA2020:Stn4:trawl:occ:23:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:23,IYS:GoA2020:Stn4:trawl:occ:23:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.001,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:24,IYS:GoA2020:Stn4:trawl:occ:24:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,15,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn4:trawl,IYS:GoA2020:Stn4:trawl:occ:24,IYS:GoA2020:Stn4:trawl:occ:24:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,1.754,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:25,IYS:GoA2020:Stn5:trawl:occ:25:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:25,IYS:GoA2020:Stn5:trawl:occ:25:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:26,IYS:GoA2020:Stn5:trawl:occ:26:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,186,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:26,IYS:GoA2020:Stn5:trawl:occ:26:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.614,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:27,IYS:GoA2020:Stn5:trawl:occ:27:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,8,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:27,IYS:GoA2020:Stn5:trawl:occ:27:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.026,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:28,IYS:GoA2020:Stn5:trawl:occ:28:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:28,IYS:GoA2020:Stn5:trawl:occ:28:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.122,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:29,IYS:GoA2020:Stn5:trawl:occ:29:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,18,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:29,IYS:GoA2020:Stn5:trawl:occ:29:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.006,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:30,IYS:GoA2020:Stn5:trawl:occ:30:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,16,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:30,IYS:GoA2020:Stn5:trawl:occ:30:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.022,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:31,IYS:GoA2020:Stn5:trawl:occ:31:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,1,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:31,IYS:GoA2020:Stn5:trawl:occ:31:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.008,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:32,IYS:GoA2020:Stn5:trawl:occ:32:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,62,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:32,IYS:GoA2020:Stn5:trawl:occ:32:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:33,IYS:GoA2020:Stn5:trawl:occ:33:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,2,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:33,IYS:GoA2020:Stn5:trawl:occ:33:biomass,Total species biomass,http://vocab.nerc.ac.uk/collection/S06/current/S0600088/,0.014,,kilogram,http://vocab.nerc.ac.uk/collection/P06/current/KGXX/,
IYS:GoA2020:Stn5:trawl,IYS:GoA2020:Stn5:trawl:occ:34,IYS:GoA2020:Stn5:trawl:occ:34:individualCount,individualCount,http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01/,59,,individuals,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,total
